CUSTID,GENDER,AGE,TV_REG,NGROUP,LCDATE,BILL,REGION,CLASS,ORGYN,AFFL,LTIME,OAC,S_MT,S_FVEG,S_TOIL,S_CONV
140,U,76,Wales & West,C,07/11/1994,16000,Midlands,Gold,0,10,4,6,2.15,17.4,27.66,0.29
620,U,49,Wales & West,D,04/06/1993,6000,Midlands,Gold,0,4,5,6,18.78,1.91,23.21,9.88
868,F,70,Wales & West,D,02/08/1990,0,Midlands,Silver,1,5,8,6,33.17,27.94,16.69,14.78
1120,M,65,Midlands,F,01/07/1991,0,Midlands,Tin,1,10,7,4,20.84,28.64,26.69,8.06
2313,F,68,Midlands,A,01/03/1990,0,Midlands,Tin,0,11,8,5,5.22,37.45,21.65,12.54
2771,U,72,N West,D,07/11/1995,20760,North,Platinum,0,9,3,8,16.1,15.77,14.27,17.43
3131,F,74,East,A,01/03/1990,0,Midlands,Tin,0,11,8,6,10.55,26.58,26.06,12.64
3328,M,62,N East,D,09/02/1994,0,North,Tin,0,13,5,1,11.65,35.02,8.24,8.67
4529,M,62,East,F,29/06/1995,2039,Midlands,Silver,0,10,3,6,10.4,45.29,13.32,9.51
5886,F,43,,F,17/03/1997,6000,,Gold,1,14,1,8,26.28,29.33,11.05,15.62
7420,F,60,N East,F,13/05/1996,11000,North,Gold,0,7,2,1,35.85,33.22,36.08,12.29
9814,M,,London,C,10/11/1997,5000,South East,Silver,1,5,1,2,12.06,29.69,27.53,5.49
10006,F,51,Midlands,F,10/12/1987,300,Midlands,Silver,0,9,11,5,23.21,16.07,20.47,10.84
10219,F,64,S & S East,C,01/02/1990,0,South East,Tin,0,6,9,5,20.58,27.12,13.19,12.81
10812,F,37,London,C,28/04/1994,0,South East,Tin,1,16,4,8,15.81,22.96,12.46,15.04
11207,M,54,Midlands,D,23/05/1997,1420,Midlands,Silver,0,8,1,2,5.84,39.68,18.09,6.55
11932,F,70,Midlands,B,05/04/1990,6105,Midlands,Gold,0,5,8,2,24.52,42.99,20.36,11.36
14656,F,42,East,C,04/01/1994,0,Midlands,Tin,1,,5,,22.84,28.02,7.41,11.34
15350,F,,C Scotland,E,22/09/1993,0,Scottish,Tin,1,7,5,1,23.48,29.61,21.38,10.05
17302,,49,London,D,01/04/1991,0,South East,Tin,0,7,7,6,32.58,39.33,18.99,9.11
19496,F,66,Midlands,F,10/09/1986,500,Midlands,Silver,0,9,12,6,27.84,19.79,30.71,9.61
19763,F,74,Wales & West,B,19/11/1996,6000,Midlands,Gold,0,9,2,7,17.61,27.28,7.04,9.52
20478,,70,East,E,07/05/1996,16000,Midlands,Gold,0,6,2,5,18.19,33.64,12.05,13.84
20761,M,66,S & S East,D,22/02/1994,1000,South East,Silver,0,7,5,4,31.4,42.73,22.99,5.34
23124,F,46,London,D,01/07/1990,0,South East,Tin,0,6,8,4,13.58,20.94,12.19,12.18
24554,M,39,Ulster,,25/01/1994,0,Midlands,Tin,0,10,5,1,23.42,41.01,17.72,6.01
24880,M,75,East,B,18/12/1991,4000,Midlands,Silver,0,7,7,2,10.39,44.33,5.09,9.69
26387,F,72,Ulster,,16/06/1975,1250,Midlands,Silver,1,,23,,24.35,31.06,28.2,11.75
27715,M,43,N West,F,21/09/1993,0,North,Tin,1,7,5,2,38.54,28.57,28.15,5.65
29173,F,62,Wales & West,C,23/11/1994,20000,Midlands,Gold,0,7,4,6,21.03,27.41,21.4,15.43
29440,M,37,S West,B,06/02/1990,1000,South West,Silver,1,8,9,2,28.33,43.66,23.81,8.45
30600,F,49,London,F,01/05/1990,0,South East,Tin,0,9,8,3,30.98,27.05,20.09,14.54
